"Year","Date","Day","Item","Checked Out","Checked In","TimeBin"
2023," Sep 24","Sun","MBB"," 5:17P"," 6:36P","4PM-6PM"
2023," Sep 24","Sun","MBB"," 8:52P"," 11:09P","8PM-10PM"
2023," Sep 17","Sun","MBB"," 6:00P"," 7:11P","6PM-8PM"
2023," Sep 22","Fri","MBB"," 3:37P"," 12:37P","2PM-4PM"
2023," Sep 17","Sun","MBB"," 5:09P"," 6:14P","4PM-6PM"
2023," Sep 17","Sun","MBB"," 7:22P"," 8:48P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 2:56P"," 3:27P","2PM-4PM"
2023," Sep 18","Mon","MBB"," 4:09P"," 4:37P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 5:55P"," 7:16P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 7:27P"," 7:52P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 9:13P"," 9:45P","8PM-10PM"
2023," Sep 18","Mon","MBB"," 9:49P"," 10:17P","8PM-10PM"
2023," Sep 18","Mon","MBB"," 10:35P"," 10:49P","10PM-12AM"
2023," Sep 18","Mon","MBB"," 10:49P"," 11:55P","10PM-12AM"
2023," Sep 19","Tue","MBB"," 4:15P"," 5:10P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 5:20P"," 6:26P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 9:30P"," 10:10P","8PM-10PM"
2023," Sep 20","Wed","MBB"," 1:43P"," 2:50P","12PM-2PM"
2023," Sep 20","Wed","MBB"," 3:02P"," 3:44P","2PM-4PM"
2023," Sep 20","Wed","MBB"," 7:43P"," 8:10P","6PM-8PM"
2023," Sep 20","Wed","MBB"," 8:10P"," 9:00P","8PM-10PM"
2023," Sep 20","Wed","MBB"," 10:37P"," 11:50P","10PM-12AM"
2023," Sep 21","Thu","MBB"," 4:58P"," 5:04P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 5:24P"," 5:27P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 5:30P"," 5:52P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 5:52P"," 5:55P","4PM-6PM"
2023," Sep 22","Fri","MBB"," 2:18P"," 2:54P","2PM-4PM"
2023," Sep 23","Sat","MBB"," 2:59P"," 5:55P","2PM-4PM"
2023," Sep 24","Sun","MBB"," 2:16P"," 4:04P","2PM-4PM"
2023," Sep 17","Sun","MBB"," 8:27P"," 8:58P","8PM-10PM"
2023," Sep 18","Mon","MBB"," 3:45P"," 4:10P","2PM-4PM"
2023," Sep 18","Mon","MBB"," 4:11P"," 4:41P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 5:58P"," 6:58P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 6:58P"," 7:00P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 7:10P"," 7:47P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 8:04P"," 8:28P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 4:41P"," 6:09P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 6:18P"," 7:14P","6PM-8PM"
2023," Sep 19","Tue","MBB"," 8:30P"," 8:52P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 9:11P"," 10:06P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 10:09P"," 10:46P","10PM-12AM"
2023," Sep 19","Tue","MBB"," 11:15P"," 11:54P","10PM-12AM"
2023," Sep 20","Wed","MBB"," 5:19P"," 6:13P","4PM-6PM"
2023," Sep 20","Wed","MBB"," 6:19P"," 8:40P","6PM-8PM"
2023," Sep 21","Thu","MBB"," 4:56P"," 5:01P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 5:49P"," 5:55P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 6:51P"," 7:08P","6PM-8PM"
2023," Sep 21","Thu","MBB"," 11:17P"," 11:52P","10PM-12AM"
2023," Sep 22","Fri","MBB"," 1:46P"," 3:42P","12PM-2PM"
2023," Sep 22","Fri","MBB"," 3:49P"," 7:13P","2PM-4PM"
2023," Sep 22","Fri","MBB"," 7:13P"," 3:18P","6PM-8PM"
2023," Sep 23","Sat","MBB"," 3:56P"," 4:19P","2PM-4PM"
2023," Sep 24","Sun","MBB"," 4:53P"," 5:35P","4PM-6PM"
2023," Sep 24","Sun","MBB"," 6:16P"," 8:21P","6PM-8PM"
2023," Sep 17","Sun","MBB"," 1:11P"," 2:04P","12PM-2PM"
2023," Sep 17","Sun","MBB"," 3:48P"," 5:14P","2PM-4PM"
2023," Sep 17","Sun","MBB"," 5:24P"," 6:28P","4PM-6PM"
2023," Sep 17","Sun","MBB"," 6:34P"," 7:03P","6PM-8PM"
2023," Sep 17","Sun","MBB"," 7:08P"," 8:03P","6PM-8PM"
2023," Sep 17","Sun","MBB"," 8:24P"," 9:43P","8PM-10PM"
2023," Sep 18","Mon","MBB"," 2:20P"," 3:55P","2PM-4PM"
2023," Sep 18","Mon","MBB"," 3:58P"," 4:34P","2PM-4PM"
2023," Sep 18","Mon","MBB"," 4:50P"," 5:10P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 5:40P"," 6:57P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 6:57P"," 8:30P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 9:10P"," 9:36P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 3:41P"," 5:15P","2PM-4PM"
2023," Sep 19","Tue","MBB"," 5:29P"," 6:49P","4PM-6PM"
2023," Sep 20","Wed","MBB"," 4:25P"," 5:08P","4PM-6PM"
2023," Sep 20","Wed","MBB"," 7:30P"," 9:07P","6PM-8PM"
2023," Sep 21","Thu","MBB"," 1:07P"," 1:41P","12PM-2PM"
2023," Sep 21","Thu","MBB"," 3:01P"," 3:55P","2PM-4PM"
2023," Sep 21","Thu","MBB"," 5:53P"," 5:58P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 7:06P"," 7:10P","6PM-8PM"
2023," Sep 21","Thu","MBB"," 10:28P"," 11:27P","10PM-12AM"
2023," Sep 21","Thu","MBB"," 11:29P"," 11:53P","10PM-12AM"
2023," Sep 22","Fri","MBB"," 2:10P"," 3:34P","2PM-4PM"
2023," Sep 22","Fri","MBB"," 3:36P"," 4:29P","2PM-4PM"
2023," Sep 22","Fri","MBB"," 4:30P"," 5:15P","4PM-6PM"
2023," Sep 22","Fri","MBB"," 6:32P"," 6:41P","6PM-8PM"
2023," Sep 22","Fri","MBB"," 6:41P"," 7:46P","6PM-8PM"
2023," Sep 22","Fri","MBB"," 9:16P"," 9:58P","8PM-10PM"
2023," Sep 23","Sat","MBB"," 1:51P"," 3:01P","12PM-2PM"
2023," Sep 23","Sat","MBB"," 3:36P"," 4:31P","2PM-4PM"
2023," Sep 23","Sat","MBB"," 6:16P"," 7:01P","6PM-8PM"
2023," Sep 23","Sat","MBB"," 8:47P"," 10:46P","8PM-10PM"
2023," Sep 24","Sun","MBB"," 3:55P"," 5:54P","2PM-4PM"
2023," Sep 24","Sun","MBB"," 6:29P"," 7:08P","6PM-8PM"
2023," Sep 24","Sun","MBB"," 7:38P"," 9:01P","6PM-8PM"
2023," Sep 24","Sun","MBB"," 9:03P"," 9:03P","8PM-10PM"
2023," Sep 24","Sun","MBB"," 10:07P"," 11:01P","10PM-12AM"
2023," Sep 17","Sun","MBB"," 7:32P"," 8:58P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 2:56P"," 3:06P","2PM-4PM"
2023," Sep 18","Mon","MBB"," 5:16P"," 6:16P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 6:23P"," 8:23P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 9:12P"," 10:14P","8PM-10PM"
2023," Sep 18","Mon","MBB"," 10:49P"," 11:55P","10PM-12AM"
2023," Sep 19","Tue","MBB"," 4:25P"," 4:59P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 5:34P"," 6:43P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 8:49P"," 9:29P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 9:30P"," 10:10P","8PM-10PM"
2023," Sep 20","Wed","MBB"," 7:42P"," 8:38P","6PM-8PM"
2023," Sep 20","Wed","MBB"," 9:00P"," 9:00P","8PM-10PM"
2023," Sep 21","Thu","MBB"," 3:28P"," 3:59P","2PM-4PM"
2023," Sep 21","Thu","MBB"," 4:54P"," 5:02P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 5:03P"," 5:20P","4PM-6PM"
2023," Sep 21","Thu","MBB"," 6:14P"," 6:18P","6PM-8PM"
2023," Sep 21","Thu","MBB"," 6:51P"," 7:08P","6PM-8PM"
2023," Sep 22","Fri","MBB"," 6:45P"," 8:13P","6PM-8PM"
2023," Sep 23","Sat","MBB"," 3:30P"," 4:09P","2PM-4PM"
2023," Sep 23","Sat","MBB"," 5:40P"," 6:17P","4PM-6PM"
2023," Sep 24","Sun","MBB"," 5:02P"," 6:55P","4PM-6PM"
2023," Sep 24","Sun","MBB"," 9:03P"," 9:33P","8PM-10PM"
2023," Sep 17","Sun","OVB  "," 12:40P"," 1:16P","12PM-2PM"
2023," Sep 19","Tue","OVB  "," 9:46P"," 10:43P","8PM-10PM"
2023," Sep 20","Wed","OVB  "," 8:43P"," 9:05P","8PM-10PM"
2023," Sep 18","Mon","SOC"," 8:44P"," 9:39P","8PM-10PM"
2023," Sep 21","Thu","SOC"," 6:00P"," 6:55P","6PM-8PM"
2023," Sep 22","Fri","SOC"," 4:51P"," 6:04P","4PM-6PM"
2023," Sep 22","Fri","SOC"," 9:45P"," 10:21P","8PM-10PM"
2023," Sep 24","Sun","SOC"," 5:17P"," 5:20P","4PM-6PM"
2023," Sep 19","Tue","PB  "," 4:46P"," 5:05P","4PM-6PM"
2023," Sep 21","Thu","PB  "," 4:33P"," 5:17P","4PM-6PM"
2023," Sep 21","Thu","PB  "," 8:28P"," 9:36P","8PM-10PM"
2023," Sep 23","Sat","PB  "," 2:12P"," 2:46P","2PM-4PM"
2023," Sep 24","Sun","PB  "," 7:48P"," 10:59A","6PM-8PM"
2023," Sep 21","Thu","PB  "," 4:33P"," 5:17P","4PM-6PM"
2023," Sep 22","Fri","PB  "," 3:43P"," 5:54P","2PM-4PM"
